rok;okrsek;strana;pocet_hlasu_abs;pocet_hlasu_perc
2006;14;Česká str.sociálně demokrat.;1499;19.27
2014;2004;Komunistická str.Čech a Moravy;1001;11.82
2006;36;Občanská demokratická strana;3902;36.04
2002;88;Nezávislí Pardubičtí kandidáti;168;1.16
2002;42;Unie svobody-Demokratická unie;356;3.66
2002;6;Strana za životní jistoty;18;0.16
2002;51;NEZÁVISLÍ;405;2.83
2018;1019;Občanská demokratická strana;1886;15.14
2014;1001;PARDUBÁCI,Sdružení ČSR, NK;601;6.51
2014;1003;Pard. pro lidi a Souk SsČR,PPL;40;0.49
2002;83;Občanská demokratická strana;3078;33.91
2018;1020;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;7;0.08
2010;13;Česká str.sociálně demokrat.;2598;22.92
2014;2018;ANO 2011;1902;20.59
2010;2;PERNŠTEJN -pol.str.ALTERNATIVA;157;1.64
2010;34;Strana Práv Občanů ZEMANOVCI;28;0.34
2014;4002;Svobodní, Strana svobod.občanů;233;2.26
2002;21;Unie svobody-Demokratická unie;557;4.93
2014;2016;ZEMANOVCI, Sdružení SPO, NK;2;0.02
2018;3010;Česká pirátská strana;884;6.44
2010;8;Česká str.sociálně demokrat.;1545;17.91
2006;88;Česká str.sociálně demokrat.;2574;17.04
2018;1009;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;12;0.14
2006;33;Koruna Česká (monarch.strana);3;0.03
2002;81;Komunistická str.Čech a Moravy;2485;15.74
2006;54;Koruna Česká (monarch.strana);10;0.08
2010;64;Komunistická str.Čech a Moravy;728;9.56
2018;7003;Pardubáci společně;2053;8.63
2014;5016;Pard. pro lidi a Souk SsČR,PPL;64;0.76
2006;21;Občanská demokratická strana;4997;41.98
2018;5015;ČSSD a nestran. pro Pardubice;376;3.37
2002;47;Strana za životní jistoty;28;0.27
2010;10;Komunistická str.Čech a Moravy;1882;14.95
2018;3004;JAUNER Československo 2018;0;0.00
2002;86;NEZÁVISLÍ;469;3.04
2014;3014;TOP 09 a nezávislí;809;6.00
2010;35;Strana Práv Občanů ZEMANOVCI;74;0.95
2014;5015;PATRIOTI PARDUBIC, PATRIOTI,NK;454;5.29
2018;5006;Koalice pro Pardubice;639;6.61
2002;51;Sdružení pro Pardubice;2147;14.98
2014;6004;Sdružení pro Pard. - SNK ED,NK;1030;8.41
2010;77;Občanská demokratická strana;2052;19.28
2002;5;Pravý Blok;5;0.06
2010;68;Věci veřejné (VV);122;1.03
2018;7001;Svob.a př.dem.-T.Okamura (SPD);294;1.93
2018;1014;Strana soukromníků ČR;13;0.24
2002;18;Unie svobody-Demokratická unie;780;5.48
2018;3004;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;2;0.02
2014;1015;ZEMANOVCI, Sdružení SPO, NK;12;0.12
2014;5007;DOMOV;20;0.24
2006;73;Sdružení pro Pardubice;1986;17.98
2010;23;Strana Práv Občanů ZEMANOVCI;223;2.43
2014;1007;Občanská demokratická strana;712;10.54
2018;3006;Svob.a př.dem.-T.Okamura (SPD);212;1.53
2014;1020;TOP 09 a nezávislí;590;7.91
2002;58;Občanská demokratická strana;4094;35.21
2014;1008;Úsvit přímé demokracie;5;0.08
2010;10;Volte Pr.Blok www.cibulka.net;13;0.10
2010;40;Věci veřejné (VV);152;1.39
2002;86;Nezávislí Pardubičtí kandidáti;236;1.53
2018;1012;PRO Zdraví a Sport;83;0.71
2014;5008;Sdružení pro Pard. - SNK ED,NK;966;10.38
2010;44;Česká str.sociálně demokrat.;2797;25.53
2014;2001;Občanská demokratická strana;889;8.51
2006;78;Koruna Česká (monarch.strana);5;0.05
2018;3007;Pardubáci společně;1354;10.46
2014;1014;Sdružení pro Pard. - SNK ED,NK;437;7.70
2014;2004;PATRIOTI PARDUBIC, PATRIOTI,NK;254;3.00
2002;48;Sdružení pro Pardubice;2720;21.80
2006;29;Komunistická str.Čech a Moravy;1698;12.60
2018;2019;Strana soukromníků ČR;8;0.10
2006;57;Občanská demokratická strana;10150;43.06
2010;29;Věci veřejné (VV);467;3.73
2018;6001;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;18;0.10
2014;5011;Pard. pro lidi a Souk SsČR,PPL;153;1.38
2006;41;Sdružení pro Pardubice;2682;24.16
2018;2018;Sdružení pro Pardubice;330;3.24
2010;32;TOP 09 a nezávislí;330;3.49
2014;3002;Úsvit přímé demokracie;78;0.93
2014;5001;DOMOV;459;4.42
2014;7002;DOMOV;73;0.59
2010;46;Volte Pr.Blok www.cibulka.net;8;0.05
2002;37;Nezávislí Pardubičtí kandidáti;199;2.04
2014;2015;Pard. pro lidi a Souk SsČR,PPL;103;1.09
2006;46;Zelená pro Pardubice;1133;8.32
2014;7004;Úsvit přímé demokracie;118;1.63
2010;63;Komunistická str.Čech a Moravy;683;6.69
2006;30;Sdružení pro Pardubice;1883;14.11
2014;5014;Pard. pro lidi a Souk SsČR,PPL;88;1.61
2014;1011;TOP 09 a nezávislí;723;7.78
2002;88;NEZÁVISLÍ;556;3.83
2006;82;Občanská demokratická strana;3126;28.10
2014;4001;Svobodní, Strana svobod.občanů;733;3.43
2010;33;Občanská demokratická strana;1764;18.13
2006;52;Koruna Česká (monarch.strana);12;0.09
2014;4005;Občanská demokratická strana;1370;10.01
2010;31;Volte Pr.Blok www.cibulka.net;16;0.20
2010;2;Zelená pro Pardubice (SZ, NK);168;1.76
2018;2002;Pardubáci společně;673;8.34
2014;3003;ANO 2011;1489;21.56
2018;2018;ČSSD a nestran. pro Pardubice;519;5.10
2014;1022;Svobodní, Strana svobod.občanů;346;3.11
2010;14;PERNŠTEJN -pol.str.ALTERNATIVA;26;0.39
2002;35;Nezávislí Pardubičtí kandidáti;63;0.76
2006;83;Komunistická str.Čech a Moravy;906;10.83
2018;3006;PRO Zdraví a Sport;18;0.13
2018;6001;Svob.a př.dem.-T.Okamura (SPD);787;4.19
2018;1022;PRO Zdraví a Sport;39;0.34
2006;19;NEZ.DEMOKRATÉ(předs.V.Železný);23;0.20
2018;2012;PRO Zdraví a Sport;58;0.63
2018;2004;Komunistická str.Čech a Moravy;761;8.36
2014;7003;Občanská demokratická strana;1570;7.09
2006;42;NEZ.DEMOKRATÉ(předs.V.Železný);14;0.14
2006;44;Komunistická str.Čech a Moravy;797;8.28
2018;1016;JAUNER Československo 2018;0;0.00
2006;66;NEZ.DEMOKRATÉ(předs.V.Železný);12;0.11
2002;16;Strana za životní jistoty;54;0.74
2006;69;Koruna Česká (monarch.strana);3;0.02
2010;82;Koalice pro Pardubice;433;3.23
2014;1021;Strana zelených;216;2.03
2010;86;Věci veřejné (VV);726;3.41
2014;3002;Občanská demokratická strana;742;8.89
2006;12;Občanská demokratická strana;5455;38.66
2010;58;Volte Pr.Blok www.cibulka.net;29;0.25
2010;18;Komunistická str.Čech a Moravy;855;6.23
2014;5012;Strana zelených;316;4.17
2006;1;Občanská demokratická strana;4947;45.35
2006;60;Komunistická str.Čech a Moravy;740;11.40
2018;2006;ANO 2011;3301;31.51
2006;60;Koal.pro Pard.,KDU-ČSL+Nestran;460;7.08
2018;1010;Občanská demokratická strana;1058;11.96
2018;5014;JAUNER Československo 2018;2;0.03
2010;20;SDRUŽENÍ PRO PARDUBICE;2032;20.40
2002;58;NEZÁVISLÍ;391;3.36
2018;5015;ANO 2011;2635;23.65
2002;69;Strana za životní jistoty;19;0.15
2014;3012;TOP 09 a nezávislí;902;6.54
2002;81;Česká str.sociálně demokrat.;2375;15.04
2010;19;TOP 09 a nezávislí;1394;12.41
2014;5013;PARDUBÁCI,Sdružení ČSR, NK;99;1.65
2014;3004;PATRIOTI PARDUBIC, PATRIOTI,NK;306;4.05
2014;3004;Koal. pro Pard., KDU-ČSL,NESTR;637;8.44
2014;5010;Občanská demokratická strana;1157;11.66
2010;85;Věci veřejné (VV);42;1.62
2018;2009;Česká pirátská strana;1278;13.42
2014;3002;Strana zelených;87;1.04
2014;7005;ZEMANOVCI, Sdružení SPO, NK;28;0.32
2010;36;Koalice pro Pardubice;1033;8.92
2014;5016;PATRIOTI PARDUBIC, PATRIOTI,NK;710;8.41
2002;58;Unie svobody-Demokratická unie;730;6.28
2006;72;Koruna Česká (monarch.strana);8;0.05
2010;41;Věci veřejné (VV);121;1.11
2002;57;Strana za životní jistoty;89;0.48
2002;86;Křesť.demokr.unie-Čs.str.lid.;777;5.04
2002;51;Česká str.sociálně demokrat.;1822;12.71
2018;4004;ČSSD a nestran. pro Pardubice;352;4.87
2018;3015;PRO Zdraví a Sport;55;0.65
2018;5002;NAŠE PARDUBICE;61;0.62
2010;40;Suverenita-blok J.Bobošíkové;231;2.11
2018;1018;Sdružení pro Pardubice;839;7.59
2018;2014;Občanská demokratická strana;993;11.64
2014;1012;ANO 2011;1820;18.67
2018;3014;NAŠE PARDUBICE;1062;6.63
2018;1003;Koalice pro Pardubice;998;10.01
2018;4001;Sdružení pro Pardubice;2075;8.63
2018;7001;Pardubáci společně;1094;7.19
2014;6006;NEZÁVISLÍ;252;7.59
2002;1;Nezávislí Pardubičtí kandidáti;153;1.40
2018;5010;Občanská demokratická strana;1443;14.73
2018;1006;Koalice pro Pardubice;688;6.79
2010;41;Koalice pro Pardubice;478;4.40
2014;2010;Koal. pro Pard., KDU-ČSL,NESTR;812;9.82
2014;2008;Strana zelených;100;1.20
2014;7005;PARDUBÁCI,Sdružení ČSR, NK;542;6.15
2014;5007;Komunistická str.Čech a Moravy;1647;19.60
2014;6001;Svobodní, Strana svobod.občanů;565;3.76
2018;3010;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;10;0.07
2014;3008;Svobodní, Strana svobod.občanů;292;2.79
2014;1005;Svobodní, Strana svobod.občanů;135;1.92
2006;44;Občanská demokratická strana;3951;41.05
2010;18;TOP 09 a nezávislí;994;7.25
2014;2001;ANO 2011;2511;24.05
2018;5018;ANO 2011;2655;35.52
2010;61;Věci veřejné (VV);428;3.30
2014;1001;Pard. pro lidi a Souk SsČR,PPL;219;2.37
2010;7;SDRUŽENÍ PRO PARDUBICE;2098;21.68
2014;3008;Komunistická str.Čech a Moravy;1024;9.77
2014;5009;Česká str.sociálně demokrat.;982;10.29
2018;1004;JAUNER Československo 2018;2;0.02
2010;56;Občanská demokratická strana;1363;15.92
2002;33;Sdružení pro Pardubice;1514;14.15
2014;8001;ZEMANOVCI, Sdružení SPO, NK;1;0.05
2002;59;Česká str.sociálně demokrat.;1950;16.86
2002;58;Strana za životní jistoty;38;0.33
2002;48;Občanská demokratická strana;4488;35.97
2010;43;Věci veřejné (VV);393;2.95
2006;1;Koruna Česká (monarch.strana);8;0.07
2014;7001;Úsvit přímé demokracie;233;1.46
2018;2001;Svob.a př.dem.-T.Okamura (SPD);792;6.01
2010;70;TOP 09 a nezávislí;433;3.72
2002;9;Naděje;246;2.46
2018;3012;ANO 2011;3039;21.00
2018;1020;Pardubice pro lidi;261;2.92
2006;14;Zelená pro Pardubice;452;5.81
2014;2017;TOP 09 a nezávislí;295;2.74
2014;6005;Sdružení pro Pard. - SNK ED,NK;131;3.57
2002;3;Sdružení pro Pardubice;1614;15.14
2018;2006;Sdružení pro Pardubice;568;5.42
2018;6005;Sdružení pro Pardubice;215;4.76
2010;89;Věci veřejné (VV);252;3.31
2018;2015;Komunistická str.Čech a Moravy;683;6.26
2014;5013;ANO 2011;1026;17.12
2018;3014;PRO Zdraví a Sport;259;1.62
2010;78;Věci veřejné (VV);424;3.45
2014;5014;Úsvit přímé demokracie;80;1.46
2010;25;Komunistická str.Čech a Moravy;816;9.12
2006;14;NEZ.DEMOKRATÉ(předs.V.Železný);9;0.12
2018;4005;Komunistická str.Čech a Moravy;844;4.95
2002;71;Křesť.demokr.unie-Čs.str.lid.;681;5.48
2018;3005;Komunistická str.Čech a Moravy;321;2.02
2010;11;Strana Práv Občanů ZEMANOVCI;121;0.93
2014;6002;TOP 09 a nezávislí;578;3.58
2014;1001;TOP 09 a nezávislí;773;8.37
2014;3007;Pard. pro lidi a Souk SsČR,PPL;34;0.29
2002;68;NEZÁVISLÍ;410;3.09
2002;61;Strana za životní jistoty;15;0.16
2010;14;Česká str.sociálně demokrat.;1049;15.53
2010;91;Koalice pro Pardubice;56;2.52
2014;1021;Sdružení pro Pard. - SNK ED,NK;994;9.36
2006;33;Občanská demokratická strana;4216;42.85
2006;84;Občanská demokratická strana;1575;39.70
2010;25;Zelená pro Pardubice (SZ, NK);229;2.56
2014;1003;NEZÁVISLÍ;32;0.39
2002;32;Česká str.sociálně demokrat.;2111;17.97
2014;2013;Sdružení pro Pard. - SNK ED,NK;637;6.19
2018;2008;ANO 2011;2977;32.47
2010;10;Suverenita-blok J.Bobošíkové;161;1.28
2014;1005;PARDUBÁCI,Sdružení ČSR, NK;482;6.87
2002;22;NEZÁVISLÍ;284;2.21
2014;5008;ANO 2011;2084;22.39
2018;2005;NAŠE PARDUBICE;106;1.51
2018;4001;Strana soukromníků ČR;37;0.15
2006;6;NEZ.DEMOKRATÉ(předs.V.Železný);9;0.08
2014;1014;Koal. pro Pard., KDU-ČSL,NESTR;469;8.26
2018;2012;Svob.a př.dem.-T.Okamura (SPD);397;4.31
2018;1004;ZA PRÁVA ZVÍŘAT A ZDR. PŘÍRODU;15;0.16
2006;70;Zelená pro Pardubice;595;4.91
2006;74;Zelená pro Pardubice;559;6.10
2002;69;Křesť.demokr.unie-Čs.str.lid.;580;4.59
2010;62;Komunistická str.Čech a Moravy;543;5.35
2010;27;Věci veřejné (VV);263;1.96
2002;81;Křesť.demokr.unie-Čs.str.lid.;508;3.22
2002;91;Křesť.demokr.unie-Čs.str.lid.;241;8.56
2018;7001;Občanská demokratická strana;1879;12.35
2018;6003;Svob.a př.dem.-T.Okamura (SPD);829;4.05
2014;3006;Svobodní, Strana svobod.občanů;202;1.73
2018;2017;Občanská demokratická strana;802;6.47
2018;1004;Občanská demokratická strana;700;7.67
2014;3009;ANO 2011;1655;19.77
2002;77;Unie svobody-Demokratická unie;405;4.44
2002;91;Nezávislí Pardubičtí kandidáti;54;1.92
2006;41;Koal.pro Pard.,KDU-ČSL+Nestran;585;5.27
2006;10;NEZ.DEMOKRATÉ(předs.V.Železný);12;0.11
2010;60;PARDUBÁCI;454;6.65
2018;3010;Koalice pro Pardubice;736;5.36
2014;2007;ZEMANOVCI, Sdružení SPO, NK;11;0.14
2014;1006;Koal. pro Pard., KDU-ČSL,NESTR;318;3.52
2018;1009;Sdružení pro Pardubice;414;4.78
2002;57;Unie svobody-Demokratická unie;1601;8.59
2018;7005;Svob.a př.dem.-T.Okamura (SPD);664;5.82
2018;1007;ANO 2011;1986;26.42
2018;2013;Komunistická str.Čech a Moravy;451;4.02
2010;71;Koalice pro Pardubice;289;2.23
2014;1011;PARDUBÁCI,Sdružení ČSR, NK;920;9.90
2002;68;Pravý Blok;11;0.08
2002;55;Pravý Blok;12;0.09
